#Title: A Near-Infrared Spectral Template for Quasars 
#Authors: Glikman E., Helfand D.J., White R.L. 
#Table: Optical-to-infrared Composite Quasar Spectrum, Arithmetic and 
#       Geometric Means 
#================================================================================
#Byte-by-byte Description of file: datafile7.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.1   0.1nm   Wave   Wavelength in Angstroms
#   9- 15 F7.4   ---     Flux   Arithmetic mean flux in arbitrary units 
#  17- 23 F7.4   ---   e_Flux   Error in Flux 
#  25- 31 F7.4   ---     GFlux  Geometric mean flux in arbitrary units
#--------------------------------------------------------------------------------
 7001.9  1.9208  0.0145  1.7976
 7003.5  1.9901  0.0153  1.7857
 7005.2  1.9346  0.0151  1.7462
 7006.8  1.8577  0.0140  1.5058
 7008.4  1.8686  0.0138  1.8566
 7010.1  1.9521  0.0142  1.9295
 7011.7  1.9816  0.0144  1.9558
 7013.3  1.9960  0.0147  1.7902
 7015.0  1.9237  0.0147  1.5021
 7016.6  1.9564  0.0148  1.6242
 7018.2  1.9369  0.0142  1.7060
 7019.9  1.9465  0.0139  1.7349
 7021.5  1.9527  0.0150  1.6886
 7023.1  1.9681  0.0152  1.6810
 7024.8  1.9851  0.0156  1.6809
 7026.4  2.0148  0.0155  1.8147
 7028.0  2.0140  0.0153  1.8519
 7029.7  2.0487  0.0155  1.8984
 7031.3  2.0308  0.0155  1.8594
 7032.9  2.0074  0.0155  1.8567
 7034.6  2.0577  0.0156  1.8744
 7036.2  2.0061  0.0145  1.9399
 7037.8  2.0153  0.0147  1.7805
 7039.5  2.1078  0.0153  1.5148
 7041.1  2.0689  0.0149  1.8156
 7042.8  1.9028  0.0150  1.7127
 7044.4  2.0495  0.0165  1.8401
 7046.0  1.9380  0.0136  1.7727
 7047.7  2.0025  0.0146  1.7380
 7049.3  2.0357  0.0151  1.6067
 7050.9  2.0318  0.0147  1.7427
 7052.6  2.0268  0.0149  1.5652
 7054.2  2.0371  0.0153  1.8225
 7055.9  2.0996  0.0150  2.0008
 7057.5  2.0374  0.0152  1.7971
 7059.1  2.0032  0.0151  1.7992
 7060.8  2.0262  0.0153  1.8850
 7062.4  1.9677  0.0152  1.7970
 7064.1  2.0079  0.0150  1.9546
 7065.7  1.9507  0.0135  1.9133
 7067.4  2.0788  0.0155  1.4489
 7069.0  2.0584  0.0158  1.8217
 7070.6  1.8840  0.0137  1.8012
 7072.3  1.9913  0.0145  1.9145
 7073.9  1.9774  0.0144  1.9901
 7075.6  1.9468  0.0144  1.8498
 7077.2  1.7869  0.0140  1.8575
 7078.9  2.0107  0.0148  1.8969
 7080.5  1.9802  0.0143  1.9213
 7082.2  1.8932  0.0136  1.9636
 7083.8  1.8580  0.0126  1.9748
 7085.5  1.9835  0.0150  1.8916
 7087.1  2.0012  0.0157  1.6647
 7088.8  1.9376  0.0156  1.5826
 7090.4  1.9563  0.0156  1.5778
 7092.1  1.8773  0.0145  1.6170
 7093.7  1.9784  0.0157  1.6871
 7095.4  1.7322  0.0140  1.6448
 7097.0  1.9390  0.0149  1.7009
 7098.7  1.8712  0.0137  1.7204
 7100.3  2.0110  0.0156  1.7069
 7102.0  1.9819  0.0159  1.8751
 7103.6  1.9877  0.0165  1.7351
 7105.3  1.6411  0.0141  1.6580
 7106.9  1.8141  0.0132  1.7238
 7108.6  1.9090  0.0154  1.6690
 7110.2  1.9545  0.0161  1.7110
 7111.9  1.9955  0.0165  1.6141
 7113.5  1.8794  0.0157  1.3312
 7115.2  1.9004  0.0155  1.7303
 7116.9  1.9532  0.0165  1.8070
 7118.5  1.8567  0.0152  1.8021
 7120.2  1.9398  0.0165  1.7031
